Country,Arrivals
Ireland,5560
Brazil,2680
Vanuatu,1300
Iran,440
China,103840
Sri Lanka,2750
Fiji,3400
Indonesia,20620
Argentina,1400
United Kingdom,32840
Switzerland,3100
Germany,10370
Poland,680
Vietnam,17090
Bangladesh,1970
Pakistan,1840
South Africa,2700
Austria,1300
Sweden,1450
Hong Kong,21430
New Zealand,121320
Netherlands,5290
Norway,2020
Israel,1150
United Arab Emirates,5980
Taiwan,19790
United States of America,42030
Singapore,27300
Japan,33240
France,9570
Thailand,8810
India,26860
Nepal,3250
New Caledonia,1060
Italy,5070
Russia,670
Colombia,1400
Finland,410
Spain,3730
Canada,8540
Philippines,14900
Mexico,1240
Papua New Guinea,3900
Chile,1870
Belgium,1450
Cambodia,2070
Denmark,1610
Saudi Arabia,1150
Malaysia,16920
Korea,South,31090
Algeria,30
Egypt,690
Libya,10
Morroco,90
Sudan,90
Tunisia,20
Iraq,430
Jordan,370
Lebanon,630
Nigeria,430
Tanzania,70
Uganda,100
Zambia,140
Zimbabwe,810
Kenya,890
Ghana,180
Venezuela,110
Peru,610
Australia,1027680
Madagascar,10
Mongolia,1600
Kazakhstan,240
Tajikistan,10
Uzbekistan,120
Serbia,170
Romania,380
Congo, Dem Rep,150
Ethiopia,160
Mauritius,920
